Geography,Time arriving a,Main mode of co,Total - Commuting duration
0001.04 - Barrie,Total - Time arriving at work,    Public transit,0.0
0001.04 - Barrie,Total - Time arriving at work,    Active transportation,15.0
0001.04 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0001.05 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",390.0
0001.05 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",40.0
0001.05 - Barrie,Total - Time arriving at work,    Public transit,20.0
0001.05 - Barrie,Total - Time arriving at work,    Active transportation,60.0
0001.05 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0001.06 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",220.0
0001.06 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",30.0
0001.06 - Barrie,Total - Time arriving at work,    Public transit,0.0
0001.06 - Barrie,Total - Time arriving at work,    Active transportation,15.0
0001.06 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0001.07 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",315.0
0001.07 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",35.0
0001.07 - Barrie,Total - Time arriving at work,    Public transit,10.0
0001.07 - Barrie,Total - Time arriving at work,    Active transportation,35.0
0001.07 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0002.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",7785.0
0002.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",780.0
0002.00 - Barrie,Total - Time arriving at work,    Public transit,275.0
0002.00 - Barrie,Total - Time arriving at work,    Active transportation,80.0
0002.00 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",10.0
0003.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",5295.0
0003.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",655.0
0003.00 - Barrie,Total - Time arriving at work,    Public transit,270.0
0003.00 - Barrie,Total - Time arriving at work,    Active transportation,105.0
0003.00 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",10.0
0004.01 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",285.0
0004.01 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",30.0
0004.01 - Barrie,Total - Time arriving at work,    Public transit,15.0
0004.01 - Barrie,Total - Time arriving at work,    Active transportation,15.0
0004.01 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
